respondent_id,_true_persona,Q2_community,Q3_nationality_region,Q4_age_group,Q5_household_composition,Q6_ownership,Q7_years_in_community,Q8_villa_bedrooms,Q9_income_bracket_aed,Q10_cleaning,Q10_gardening,Q10_pool,Q10_pest_control,Q10_repairs,Q10_none,Q11_sourcing_channel,Q12_satisfaction,Q13_pain_unreliable_staff,Q13_pain_inconsistent_quality,Q13_pain_trust_strangers,Q13_pain_high_cost,Q13_pain_time_coordinating,Q13_pain_staff_turnover,Q13_pain_no_accountability,Q13_pain_hard_to_find_specialists,Q13_pain_none,Q14_hours_coordinating_monthly,Q15_feat_fixed_schedule,Q15_feat_vetted_staff,Q15_feat_continuity,Q15_feat_bundled_package,Q15_feat_emergency_callout,Q15_feat_visit_tracking,Q15_feat_ratings_reviews,Q15_feat_flex_addons,Q15_feat_community_manager,Q16_continuity_importance,Q17_scheduling_pref,Q18_current_spend_aed,Q19_max_wtp_aed,Q20_billing_pref,Q22_vetting_importance,Q23_app_comfort,Q24_app_real_time_tracking,Q24_app_in_app_reschedule,Q24_app_ratings,Q24_app_photo_verification,Q24_app_chat,Q24_app_announcements,Q24_app_none_prefer_whatsapp,Q25_interest
14,Tech-Savvy Young Adopters,Arabian Ranches,Southeast/East Asian,35-44,"Single/couple, no children",Tenant,5.6,2,"50,000-79,999",0,0,1,1,0,0,Individual freelancers,3,1,0,0,1,1,0,0,1,0,6.1,1,1,0,1,0,1,0,1,0,3,Flexible/on-demand,538.0,348.0,Bundled into HOA fees,4,3,0,0,0,0,1,1,0,No
15,Cost-Conscious Family Households,Dubai Hills Estate,Other Arab,35-44,Multigenerational household,Tenant,3.7,3,"15,000-29,999",0,0,1,1,1,0,DIY,3,1,0,0,1,0,1,1,0,0,5.4,0,1,1,1,0,1,1,0,1,3,Weekly,2290.0,2587.0,Separate billing,4,3,1,1,1,0,1,0,0,Maybe
16,Cost-Conscious Family Households,The Meadows,South Asian,55+,"Single/couple, no children",Owner,8.2,3,"15,000-29,999",0,0,0,0,1,0,Agency/company,2,1,1,1,1,0,0,0,0,0,8.8,0,1,0,1,0,0,0,0,0,3,Weekly,1592.0,1538.0,Separate billing,5,3,1,0,0,0,0,0,0,No
17,Skeptical Traditionalists,Al Furjan,GCC national,55+,Couple with children,Tenant,7.0,2,"50,000-79,999",0,0,0,0,1,0,Individual freelancers,4,0,0,1,0,0,1,0,0,0,3.9,0,0,0,1,0,0,0,1,0,5,Biweekly,943.0,440.0,Separate billing,4,1,0,0,1,0,0,1,0,No
18,Time-Poor Premium Professionals,Al Furjan,Other Arab,35-44,"Single/couple, no children",Tenant,3.6,4,"15,000-29,999",1,1,1,0,1,0,Mix,4,1,0,0,0,1,0,1,0,0,6.9,0,1,1,1,1,1,0,0,1,5,Biweekly,3217.0,3519.0,Bundled into HOA fees,4,4,1,0,0,1,0,0,0,Yes
19,Tech-Savvy Young Adopters,The Meadows,Western (Europe/NA/ANZ),35-44,Shared housing/roommates,Tenant,0.2,3,"30,000-49,999",0,0,0,0,0,1,Agency/company,1,0,1,1,1,0,0,0,1,0,7.0,1,0,1,1,0,1,1,1,1,3,Weekly,1430.0,1521.0,Bundled into HOA fees,4,4,0,0,0,0,1,1,0,Yes
20,Skeptical Traditionalists,Akoya Oxygen,Other Arab,55+,Couple with children,Owner,16.0,4,"15,000-29,999",0,1,0,1,1,0,Informal/word-of-mouth,4,0,0,0,0,0,0,1,0,0,5.0,0,1,0,0,0,0,1,0,0,4,Weekly,1763.0,2669.0,Separate billing,5,3,0,0,0,0,0,0,0,No
21,Affluent Low-Engagement,Jumeirah Park,Western (Europe/NA/ANZ),35-44,"Single/couple, no children",Owner,1.2,4,,1,1,1,1,0,0,Informal/word-of-mouth,5,0,0,0,0,0,0,0,1,1,0.0,1,1,0,0,0,0,0,1,0,3,Weekly,10395.0,11887.0,Separate billing,4,3,0,0,0,1,0,0,0,No
22,Cost-Conscious Family Households,Al Furjan,Western (Europe/NA/ANZ),55+,Couple with children,Tenant,4.9,3,,1,0,0,0,0,0,DIY,5,1,0,0,0,0,0,0,0,0,4.6,0,0,1,0,0,1,1,1,0,3,Monthly,562.0,902.0,Bundled into HOA fees,4,3,1,0,0,1,0,0,0,Yes
23,Tech-Savvy Young Adopters,Dubai Hills Estate,Southeast/East Asian,25-34,Multigenerational household,Tenant,1.9,2,,0,1,0,0,0,0,Individual freelancers,3,0,1,1,1,0,0,0,0,0,4.2,0,1,0,0,0,0,0,1,0,2,Weekly,1431.0,1403.0,No preference,3,5,1,1,1,0,0,1,0,Maybe
24,Tech-Savvy Young Adopters,Mudon,GCC national,Under 25,Couple with children,Tenant,3.9,4,"15,000-29,999",1,0,0,0,0,1,Individual freelancers,3,0,0,0,0,0,0,0,0,1,2.4,1,1,0,0,0,0,0,0,0,4,Monthly,961.0,716.0,No preference,4,5,0,0,0,0,0,1,0,Yes
25,Affluent Low-Engagement,The Meadows,GCC national,55+,Couple with children,Tenant,7.9,5,"80,000+",1,0,1,1,1,0,Agency/company,5,0,0,0,1,0,0,1,0,0,3.1,0,0,0,1,0,0,1,1,1,2,Biweekly,12751.0,13934.0,Separate billing,4,3,1,0,0,0,0,1,0,Maybe
26,Time-Poor Premium Professionals,Akoya Oxygen,African,25-34,"Single/couple, no children",Owner,6.3,2,"15,000-29,999",1,0,0,0,0,0,Mix,3,1,0,0,1,1,1,0,1,0,9.2,1,0,1,1,0,1,0,1,1,4,Monthly,1591.0,1847.0,Bundled into HOA fees,5,5,0,0,0,0,0,1,0,Yes
27,Cost-Conscious Family Households,Dubai Hills Estate,GCC national,35-44,Couple with children,Tenant,4.6,3,"30,000-49,999",0,0,0,0,0,1,Individual freelancers,3,0,0,0,1,0,0,1,1,0,4.0,1,0,0,1,1,0,1,0,1,4,Weekly,1237.0,1350.0,Separate billing,4,3,0,0,0,1,0,0,0,Yes
28,Time-Poor Premium Professionals,Damac Hills,Other,55+,"Single/couple, no children",Tenant,7.1,4,"30,000-49,999",0,0,0,0,1,0,Agency/company,3,0,0,0,0,0,1,0,1,0,9.0,0,1,1,0,0,1,0,1,0,4,Weekly,3658.0,4571.0,Bundled into HOA fees,5,3,0,0,1,0,0,1,0,Yes
29,Time-Poor Premium Professionals,Akoya Oxygen,Southeast/East Asian,25-34,"Single/couple, no children",Tenant,2.2,5,"30,000-49,999",0,0,1,1,1,0,DIY,2,1,0,0,0,0,0,1,0,0,5.8,1,1,1,0,0,1,0,0,1,2,Weekly,5010.0,5569.0,Bundled into HOA fees,2,2,0,0,1,0,0,0,0,Yes
30,Affluent Low-Engagement,Damac Hills,GCC national,45-54,"Single/couple, no children",Owner,2.3,4,"80,000+",1,1,1,1,1,0,Mix,5,0,0,0,0,0,0,0,0,1,0.1,0,1,1,0,0,1,0,0,0,1,Monthly,10074.0,16198.0,No preference,4,2,0,0,1,1,0,1,1,Yes
31,Affluent Low-Engagement,Dubai Hills Estate,Other Arab,45-54,"Single/couple, no children",Owner,15.9,5,,1,1,1,0,1,0,Agency/company,3,1,0,0,0,0,0,0,1,0,4.1,0,1,0,0,0,0,1,0,0,3,Weekly,8095.0,10364.0,No preference,5,2,0,0,1,1,0,0,0,Yes
32,Tech-Savvy Young Adopters,Dubai Hills Estate,African,25-34,Shared housing/roommates,Tenant,1.8,3,"50,000-79,999",1,0,0,1,0,0,Individual freelancers,3,1,0,1,0,1,0,0,0,0,4.6,1,1,0,1,0,1,0,0,1,5,Monthly,1095.0,1725.0,Bundled into HOA fees,3,4,0,0,1,0,0,1,0,No
33,Cost-Conscious Family Households,Arabian Ranches,African,35-44,"Single/couple, no children",Owner,1.7,2,"15,000-29,999",1,0,0,0,1,0,Individual freelancers,2,0,0,0,1,0,0,0,0,0,5.7,1,0,0,1,0,0,1,0,0,2,Biweekly,1088.0,827.0,Bundled into HOA fees,3,2,1,0,1,0,0,0,1,Maybe
34,Cost-Conscious Family Households,Jumeirah Park,Western (Europe/NA/ANZ),35-44,Couple with children,Owner,3.6,3,"15,000-29,999",0,0,0,1,0,0,Informal/word-of-mouth,3,0,1,0,1,0,0,0,0,0,9.7,0,0,1,1,0,1,0,1,0,3,Flexible/on-demand,1118.0,1236.0,Bundled into HOA fees,5,3,1,1,0,0,0,0,0,Maybe
35,Cost-Conscious Family Households,Arabian Ranches,GCC national,55+,Multigenerational household,Owner,3.4,3,"50,000-79,999",1,0,1,1,0,0,Individual freelancers,3,1,0,0,0,1,0,0,1,0,6.6,1,0,1,1,1,1,0,0,1,3,Monthly,1485.0,2226.0,Bundled into HOA fees,4,4,0,0,0,0,0,1,0,No
36,Time-Poor Premium Professionals,The Springs,Western (Europe/NA/ANZ),35-44,Couple with children,Tenant,3.8,4,"80,000+",1,0,1,0,0,0,Agency/company,2,1,0,1,1,0,0,1,0,0,11.9,0,1,1,1,1,0,1,1,0,3,Biweekly,7087.0,7517.0,Separate billing,5,4,0,0,0,1,0,1,0,Yes
37,Time-Poor Premium Professionals,Jumeirah Park,Other Arab,35-44,"Single/couple, no children",Tenant,4.5,3,,0,1,1,0,1,0,Agency/company,3,0,1,0,0,0,1,0,1,0,9.1,1,0,1,0,1,0,0,1,1,4,Monthly,906.0,1654.0,Bundled into HOA fees,5,4,0,1,0,1,1,0,0,No
38,Cost-Conscious Family Households,Al Furjan,Other Arab,35-44,Couple with children,Owner,6.8,3,"15,000-29,999",1,0,0,1,0,0,DIY,2,1,1,1,0,0,1,0,1,0,10.3,1,1,1,1,0,0,1,1,0,4,Monthly,1118.0,1290.0,Separate billing,4,3,1,0,0,0,0,0,0,Yes
39,Cost-Conscious Family Households,The Springs,Other Arab,35-44,Couple with children,Tenant,2.8,4,,0,1,0,0,0,0,DIY,4,0,1,0,0,0,0,0,0,1,1.8,1,1,0,1,0,1,0,0,0,3,Biweekly,2400.0,1587.0,Separate billing,4,3,0,0,1,0,1,0,0,Maybe
40,Skeptical Traditionalists,Damac Hills,South Asian,45-54,Couple with children,Tenant,3.8,3,,1,1,0,0,1,0,Individual freelancers,4,0,0,0,0,1,0,0,0,0,4.4,0,0,1,0,0,0,0,1,0,5,Monthly,1300.0,1104.0,No preference,4,2,1,0,1,1,0,0,1,No
41,Cost-Conscious Family Households,Damac Hills,Other Arab,25-34,Couple with children,Owner,5.3,3,"50,000-79,999",0,0,0,0,0,0,Individual freelancers,5,0,0,0,1,0,0,0,0,0,4.8,0,1,1,1,0,0,0,0,0,5,Weekly,21150.0,2504.0,Bundled into HOA fees,5,5,0,0,0,1,1,0,0,Maybe
42,Tech-Savvy Young Adopters,Arabian Ranches,Southeast/East Asian,35-44,Shared housing/roommates,Tenant,0.1,4,"80,000+",1,0,1,1,1,0,Agency/company,4,1,0,0,0,0,0,1,1,0,3.8,1,1,0,0,1,0,1,0,1,3,Biweekly,1212.0,1535.0,No preference,3,3,0,1,0,1,0,0,0,Maybe
43,Affluent Low-Engagement,The Meadows,African,35-44,Multigenerational household,Owner,8.0,4,"50,000-79,999",1,1,0,1,1,0,Agency/company,3,0,0,0,0,0,0,0,0,1,1.2,0,0,0,0,1,0,0,0,0,4,Weekly,3897.0,6016.0,No preference,4,3,1,0,0,0,1,0,0,No
44,Cost-Conscious Family Households,Al Furjan,South Asian,35-44,Couple with children,Tenant,5.9,4,"15,000-29,999",0,0,0,0,1,0,Informal/word-of-mouth,4,0,1,0,0,0,0,0,0,0,5.5,0,1,0,0,0,1,0,0,0,5,Monthly,2803.0,1901.0,No preference,3,1,0,1,0,0,1,0,0,Maybe
45,Tech-Savvy Young Adopters,Mudon,Southeast/East Asian,Under 25,Couple with children,Tenant,2.0,4,,0,0,0,0,1,0,Agency/company,4,0,1,0,1,0,0,0,1,0,5.6,0,1,1,1,0,1,0,0,0,4,Monthly,1385.0,1449.0,Separate billing,3,5,0,0,0,0,0,1,0,Maybe
46,Tech-Savvy Young Adopters,The Meadows,GCC national,35-44,"Single/couple, no children",Tenant,1.7,2,"15,000-29,999",0,0,0,0,0,1,Agency/company,2,1,0,1,0,0,0,0,0,0,4.0,0,1,0,0,1,0,1,1,1,4,Weekly,754.0,1025.0,Separate billing,3,3,1,0,0,0,0,0,0,Yes
47,Cost-Conscious Family Households,Akoya Oxygen,Other,45-54,Couple with children,Owner,3.6,3,"30,000-49,999",0,0,0,0,1,0,Agency/company,4,0,0,0,1,1,0,1,0,0,7.3,1,1,0,1,0,0,0,0,0,4,Biweekly,1266.0,1102.0,Bundled into HOA fees,5,4,0,0,1,0,0,1,0,Yes
48,Cost-Conscious Family Households,The Springs,Other Arab,35-44,Couple with children,Owner,5.6,2,"15,000-29,999",1,1,1,0,1,0,Individual freelancers,3,0,0,0,0,1,0,1,0,0,6.3,1,0,1,0,0,0,0,1,0,3,Biweekly,728.0,895.0,Bundled into HOA fees,4,4,0,1,0,0,0,1,0,Maybe
49,Affluent Low-Engagement,Arabian Ranches,South Asian,45-54,Couple with children,Owner,4.3,4,"80,000+",1,1,1,1,1,0,Individual freelancers,2,0,0,0,0,0,0,0,0,0,1.0,1,0,1,0,0,0,0,1,1,2,Biweekly,7661.0,12027.0,Separate billing,3,4,1,0,1,0,0,1,0,Maybe
50,Time-Poor Premium Professionals,Damac Hills,Western (Europe/NA/ANZ),35-44,Couple with children,Tenant,3.7,3,,1,1,1,0,1,0,Informal/word-of-mouth,2,0,1,0,0,1,0,1,1,0,10.3,0,0,1,0,1,0,0,1,1,4,Weekly,3286.0,5675.0,Separate billing,5,5,1,0,1,0,0,0,0,Yes
51,Time-Poor Premium Professionals,Mudon,Other Arab,25-34,Couple with children,Tenant,3.0,2,"30,000-49,999",0,0,0,1,1,0,Informal/word-of-mouth,1,0,0,0,0,0,0,0,0,1,9.4,0,1,0,0,0,0,0,0,1,1,Biweekly,2347.0,3835.0,Separate billing,1,1,1,0,1,1,0,0,0,Maybe
52,Time-Poor Premium Professionals,The Meadows,African,25-34,Couple with children,Tenant,3.1,3,"50,000-79,999",1,1,1,0,1,0,Mix,1,0,0,1,1,1,1,1,0,0,8.4,0,1,1,1,1,1,1,0,1,4,Biweekly,3342.0,4885.0,Separate billing,4,4,1,1,0,0,0,1,0,Yes
53,Affluent Low-Engagement,Damac Hills,GCC national,45-54,Multigenerational household,Owner,5.9,3,"80,000+",1,1,0,1,1,0,Agency/company,5,1,0,0,0,0,0,0,1,0,0.0,1,1,1,1,1,1,0,0,0,2,Weekly,10011.0,16286.0,Separate billing,3,4,0,0,0,0,0,0,0,Yes
54,Skeptical Traditionalists,The Meadows,Other Arab,25-34,Couple with children,Tenant,10.5,3,,0,0,1,1,1,0,Individual freelancers,3,0,0,1,0,1,1,0,0,0,4.8,0,1,0,0,1,1,1,1,1,5,Monthly,2349.0,3027.0,Separate billing,5,2,1,0,0,0,1,0,0,Yes
55,Affluent Low-Engagement,Al Furjan,Other Arab,45-54,"Single/couple, no children",Owner,2.9,3,"50,000-79,999",1,1,0,1,0,0,Agency/company,5,0,0,0,0,0,0,0,0,1,1.7,1,0,1,0,0,1,1,0,1,5,Weekly,3460.0,47.0,No preference,5,5,0,0,0,0,0,0,0,No
56,Affluent Low-Engagement,Mudon,GCC national,45-54,"Single/couple, no children",Owner,12.0,5,"80,000+",1,1,1,0,1,0,Agency/company,5,0,0,0,0,1,0,0,0,0,2.8,1,1,0,1,0,0,0,0,0,4,Biweekly,17085.0,24226.0,Separate billing,5,3,0,0,0,0,0,0,0,No
57,Cost-Conscious Family Households,Akoya Oxygen,Other Arab,25-34,Couple with children,Owner,3.4,4,"30,000-49,999",1,0,0,1,0,0,Informal/word-of-mouth,2,0,0,0,1,1,0,0,0,0,5.1,1,0,0,1,0,1,0,0,0,3,Biweekly,1661.0,1465.0,No preference,3,4,1,0,0,1,0,0,0,Maybe
58,Skeptical Traditionalists,Jumeirah Park,Western (Europe/NA/ANZ),55+,Multigenerational household,Owner,5.9,5,"30,000-49,999",1,0,0,1,0,0,Mix,4,1,0,0,1,0,0,0,0,0,2.4,0,1,1,1,0,1,0,1,1,4,Biweekly,1907.0,3173.0,No preference,3,2,0,1,1,1,0,1,0,No
59,Time-Poor Premium Professionals,Damac Hills,Other,25-34,"Single/couple, no children",Tenant,1.4,2,"30,000-49,999",1,1,1,0,1,0,Informal/word-of-mouth,3,1,0,0,0,1,1,0,0,0,6.8,1,1,0,0,0,1,1,0,0,3,Weekly,1404.0,1158.0,Separate billing,5,5,0,0,0,0,0,0,0,Yes
60,Time-Poor Premium Professionals,Jumeirah Islands,Western (Europe/NA/ANZ),35-44,Couple with children,Tenant,2.8,3,"50,000-79,999",1,0,0,0,0,0,DIY,3,1,0,0,0,1,0,0,0,0,11.9,1,1,1,0,0,0,0,0,0,3,Weekly,2918.0,3958.0,No preference,5,4,0,0,1,1,0,0,0,Yes
61,Skeptical Traditionalists,Arabian Ranches,Other Arab,35-44,Multigenerational household,Owner,16.1,3,"80,000+",1,0,1,1,1,0,Informal/word-of-mouth,5,1,0,0,0,1,0,1,0,0,1.8,0,1,1,0,0,0,1,0,0,5,Biweekly,3767.0,3525.0,Separate billing,4,1,0,0,0,0,0,1,0,Maybe
62,Cost-Conscious Family Households,Dubai Hills Estate,Southeast/East Asian,55+,Multigenerational household,Owner,11.4,3,"15,000-29,999",0,1,1,0,0,0,DIY,3,0,1,1,1,1,0,1,1,0,6.3,1,1,0,1,0,0,0,0,1,4,Weekly,877.0,1073.0,Bundled into HOA fees,3,3,0,0,0,0,1,1,0,Maybe
63,Skeptical Traditionalists,Damac Hills,Other Arab,55+,"Single/couple, no children",Tenant,4.5,4,"Under 15,000",0,1,1,0,1,0,Informal/word-of-mouth,5,0,0,1,0,0,0,1,1,0,4.4,1,1,0,0,0,0,0,0,0,4,Biweekly,2286.0,40.0,Separate billing,4,2,1,0,0,1,0,1,1,No
64,Affluent Low-Engagement,The Springs,GCC national,35-44,Shared housing/roommates,Owner,7.7,5,,1,1,1,1,1,0,Agency/company,4,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,2,Biweekly,11518.0,14239.0,No preference,4,2,1,0,0,0,0,0,0,Yes
65,Skeptical Traditionalists,Akoya Oxygen,GCC national,55+,Multigenerational household,Owner,12.9,5,"15,000-29,999",0,1,0,0,1,0,Individual freelancers,3,0,0,1,0,0,0,0,1,0,0.6,1,1,1,1,0,0,0,0,0,4,Flexible/on-demand,2510.0,1665.0,Separate billing,5,3,0,0,1,0,0,1,0,No
66,Skeptical Traditionalists,Akoya Oxygen,Other,35-44,Couple with children,Owner,6.8,2,,0,0,0,0,1,0,Individual freelancers,3,0,1,1,1,0,0,0,0,0,5.9,1,1,1,1,0,0,1,0,0,3,Biweekly,1447.0,1320.0,Separate billing,3,3,0,0,0,0,0,0,1,No
67,Skeptical Traditionalists,Al Furjan,GCC national,55+,Couple with children,Owner,8.6,4,"30,000-49,999",0,0,1,1,1,0,Agency/company,4,0,0,1,0,0,0,1,0,0,,0,1,0,0,0,0,0,0,1,4,Weekly,3761.0,1776.0,Separate billing,5,2,0,0,0,0,0,0,1,Maybe
68,Cost-Conscious Family Households,The Meadows,African,35-44,Couple with children,Tenant,5.2,5,"15,000-29,999",1,1,0,1,0,1,Informal/word-of-mouth,3,1,0,0,0,0,0,0,0,0,6.7,1,1,1,1,0,0,0,1,0,5,Flexible/on-demand,1743.0,1766.0,Bundled into HOA fees,4,3,0,0,0,1,0,0,0,Yes
69,Time-Poor Premium Professionals,Al Furjan,Southeast/East Asian,25-34,"Single/couple, no children",Owner,,3,"30,000-49,999",1,0,1,1,0,0,Mix,2,1,0,0,0,1,1,0,1,0,7.4,1,1,1,1,1,1,1,0,1,4,Weekly,2924.0,3918.0,Separate billing,3,4,1,0,0,1,0,1,0,Yes
70,Cost-Conscious Family Households,Dubai Hills Estate,Other,55+,Shared housing/roommates,Owner,7.5,3,,1,0,0,0,1,0,DIY,5,0,1,0,1,1,0,0,1,0,7.6,1,0,0,1,0,1,0,1,1,3,Flexible/on-demand,949.0,876.0,Bundled into HOA fees,5,4,0,0,0,0,1,0,0,Yes
71,Time-Poor Premium Professionals,The Meadows,South Asian,35-44,"Single/couple, no children",Tenant,3.4,3,"30,000-49,999",1,1,0,0,0,0,Agency/company,2,0,0,0,0,1,0,0,0,0,6.0,1,1,0,1,0,0,1,0,0,5,Weekly,2739.0,4231.0,Bundled into HOA fees,4,3,0,1,0,0,0,0,0,Yes
72,Cost-Conscious Family Households,Al Furjan,GCC national,25-34,Couple with children,Tenant,3.9,3,"30,000-49,999",0,0,0,1,0,0,Informal/word-of-mouth,4,0,1,0,0,0,0,0,0,0,4.4,0,0,1,0,0,0,0,0,0,3,Weekly,1113.0,432.0,Bundled into HOA fees,3,3,0,0,0,0,0,1,0,No
73,Tech-Savvy Young Adopters,The Meadows,Western (Europe/NA/ANZ),35-44,"Single/couple, no children",Tenant,1.4,3,"Under 15,000",0,0,0,0,0,1,Agency/company,4,1,1,0,1,0,0,0,1,0,4.3,1,0,1,1,1,1,1,0,0,1,Weekly,508.0,486.0,No preference,4,4,0,1,0,0,0,0,0,Yes
74,Cost-Conscious Family Households,The Springs,GCC national,35-44,Couple with children,Tenant,6.9,3,"15,000-29,999",0,1,1,1,0,0,Individual freelancers,4,0,0,1,1,0,1,0,0,0,8.1,1,1,1,1,1,1,0,1,1,5,Weekly,1202.0,1126.0,Separate billing,4,3,1,1,0,0,1,1,0,Yes
75,Time-Poor Premium Professionals,The Meadows,Southeast/East Asian,35-44,Couple with children,Tenant,0.6,4,"80,000+",1,1,0,1,1,0,Agency/company,3,0,1,1,0,0,1,0,0,0,8.7,0,1,1,1,0,0,0,0,0,4,Monthly,5135.0,31.0,No preference,4,5,1,0,0,1,0,1,0,Maybe
76,Cost-Conscious Family Households,Jumeirah Park,Other,45-54,Couple with children,Owner,3.1,4,"15,000-29,999",0,0,0,0,0,1,Mix,4,1,1,0,1,0,0,0,0,0,6.1,0,1,0,0,0,0,0,0,0,5,Weekly,1361.0,1241.0,Bundled into HOA fees,3,4,1,0,1,0,0,1,0,Yes
